Session Key,Protocol,Src IP,Src Port,Dst IP,Dst Port,Init Ts,Last Ts,Ts,Duration,Mac Addr,Label,Fwd IAT Min,Fwd IAT Max,Fwd IAT Sum,Fwd IAT Ave,Fwd IAT Std,Bwd IAT Min,Bwd IAT Max,Bwd IAT Sum,Bwd IAT Ave,Bwd IAT Std,Flow IAT Min,Flow IAT Max,Flow IAT Ave,Flow IAT Std,Fwd Pkt Len Min,Fwd Pkt Len Max,Fwd Pkt Len Sum,Fwd Pkt Len Ave,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Max,Bwd Pkt Len Sum,Bwd Pkt Len Ave,Bwd Pkt Len Std,Flow Pkt Len Min,Flow Pkt Len Max,Flow Pkt Len Ave,Flow Pkt Len Std,Fwd Pkt Num,Bwd Pkt Num,F/Bwd Pkt Ratio,Fwd Pkt Speed,Bwd Pkt Speed,Fwd Byte Num,Bwd Byte Num,F/Bwd Byte Ratio,Fwd Byte Speed,Bwd Byte Speed,Fwd Flag Ack Num,Bwd Flag Ack Num,F/Bwd Flag Ack Ratio,Fwd Flag Ack Speed,Bwd Flag Ack Speed,Fwd Flag Cwr Num,Bwd Flag Cwr Num,F/Bwd Flag Cwr Ratio,Fwd Flag Cwr Speed,Bwd Flag Cwr Speed,Fwd Flag Ecn Num,Bwd Flag Ecn Num,F/Bwd Flag Ecn Ratio,Fwd Flag Ecn Speed,Bwd Flag Ecn Speed,Fwd Flag Fin Num,Bwd Flag Fin Num,F/Bwd Flag Fin Ratio,Fwd Flag Fin Speed,Bwd Flag Fin Speed,Fwd Flag Ns Num,Bwd Flag Ns Num,F/Bwd Flag Ns Ratio,Fwd Flag Ns Speed,Bwd Flag Ns Speed,Fwd Flag Push Num,Bwd Flag Push Num,F/Bwd Flag Push Ratio,Fwd Flag Push Speed,Bwd Flag Push Speed,Fwd Flag Res Num,Bwd Flag Res Num,F/Bwd Flag Res Ratio,Fwd Flag Res Speed,Bwd Flag Res Speed,Fwd Flag Reset Num,Bwd Flag Reset Num,F/Bwd Flag Reset Ratio,Fwd Flag Reset Speed,Bwd Flag Reset Speed,Fwd Flag Syn Num,Bwd Flag Syn Num,F/Bwd Flag Syn Ratio,Fwd Flag Syn Speed,Bwd Flag Syn Speed,Fwd Flag Urg Num,Bwd Flag Urg Num,F/Bwd Flag Urg Ratio,Fwd Flag Urg Speed,Bwd Flag Urg Speed
ICMPv6 fe80::201:1:1:1 0 ff02::1a 0 155 1,ICMPv6,fe80::201:1:1:1,0,ff02::1a,0,2020-04-27 02:25:22.688000,2020-04-27 02:25:22.688000,1587968722688000.0,0.0,"{'0x0000ffff', '00:01:00:01:00:01:00:01'}",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.0,97.0,97.0,97.0,0,0,0,0,0,0,97.0,97.0,97.0,0,1.0,0.0,0,0.0,0.0,97.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
ICMPv6 fe80::201:1:1:1 0 fe80::205:5:5:5 0 155 1,ICMPv6,fe80::201:1:1:1,0,fe80::205:5:5:5,0,2020-04-27 02:25:23.176000,2020-04-27 02:25:24.565000,1587968723176000.0,1389000.0,"{'00:01:00:01:00:01:00:01', '00:05:00:05:00:05:00:05'}",,0,0,0,0,0,0.09599995613098145,0.7290000915527344,1.3889999389648438,0.46299997965494794,0.32836417202910784,0.09599995613098145,0.7290000915527344,0.46299997965494794,0.32836417202910784,0,0,0,0,0,102.0,102.0,408.0,102.0,0.0,102.0,102.0,102.0,0.0,0.0,4.0,0.0,0.0,2.8797696184305255,0.0,408.0,0.0,0.0,293.7365010799136,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
ICMPv6 fe80::201:1:1:1 0 fe80::20d:d:d:d 0 155 1,ICMPv6,fe80::201:1:1:1,0,fe80::20d:d:d:d,0,2020-04-27 02:25:24.179000,2020-04-27 02:25:28.329000,1587968724179000.0,4150000.0,"{'00:01:00:01:00:01:00:01', '00:0d:00:0d:00:0d:00:0d'}",,0,0,0,0,0,0.5199999809265137,3.630000114440918,4.150000095367432,2.075000047683716,2.1991021838991034,0.5199999809265137,3.630000114440918,2.075000047683716,2.1991021838991034,0,0,0,0,0,102.0,102.0,306.0,102.0,0.0,102.0,102.0,102.0,0.0,0.0,3.0,0.0,0.0,0.7228915662650601,0.0,306.0,0.0,0.0,73.73493975903614,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
ICMPv6 fe80::201:1:1:1 0 fe80::212:12:12:12 0 155 1,ICMPv6,fe80::201:1:1:1,0,fe80::212:12:12:12,0,2020-04-27 02:25:25.194000,2020-04-27 02:25:28.946000,1587968725194000.0,3752000.0,"{'00:01:00:01:00:01:00:01', '00:12:00:12:00:12:00:12'}",,0,0,0,0,0,0.2650001049041748,3.486999988555908,3.752000093460083,1.8760000467300415,2.2782979667124077,0.2650001049041748,3.486999988555908,1.8760000467300415,2.2782979667124077,0,0,0,0,0,102.0,102.0,306.0,102.0,0.0,102.0,102.0,102.0,0.0,0.0,3.0,0.0,0.0,0.7995735607675907,0.0,306.0,0.0,0.0,81.55650319829425,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
ICMPv6 fe80::201:1:1:1 0 fe80::216:16:16:16 0 155 1,ICMPv6,fe80::201:1:1:1,0,fe80::216:16:16:16,0,2020-04-27 02:25:25.881000,2020-04-27 02:25:29.081000,1587968725881000.0,3200000.0,"{'00:01:00:01:00:01:00:01', '00:16:00:16:00:16:00:16'}",,0,0,0,0,0,0.3280000686645508,2.1040000915527344,3.200000047683716,1.0666666825612385,0.9249029198753024,0.3280000686645508,2.1040000915527344,1.0666666825612385,0.9249029198753024,0,0,0,0,0,102.0,102.0,408.0,102.0,0.0,102.0,102.0,102.0,0.0,0.0,4.0,0.0,0.0,1.25,0.0,408.0,0.0,0.0,127.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
ICMPv6 fe80::201:1:1:1 0 fe80::213:13:13:13 0 155 1,ICMPv6,fe80::201:1:1:1,0,fe80::213:13:13:13,0,2020-04-27 02:25:26.086000,2020-04-27 02:25:29.997000,1587968726086000.0,3911000.0,"{'00:01:00:01:00:01:00:01', '00:13:00:13:00:13:00:13'}",,0,0,0,0,0,0.7699999809265137,3.1410000324249268,3.9110000133514404,1.9555000066757202,1.6765502146081812,0.7699999809265137,3.1410000324249268,1.9555000066757202,1.6765502146081812,0,0,0,0,0,102.0,102.0,306.0,102.0,0.0,102.0,102.0,102.0,0.0,0.0,3.0,0.0,0.0,0.767067246228586,0.0,306.0,0.0,0.0,78.24085911531577,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
ICMPv6 ::201:1:1:1 0 ::205:5:5:5 0 155 2,ICMPv6,::201:1:1:1,0,::205:5:5:5,0,2020-04-27 02:25:29.765000,2020-04-27 02:25:29.765000,1587968729765000.0,0.0,"{'00:01:00:01:00:01:00:01', '00:05:00:05:00:05:00:05'}",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0,85.0,85.0,85.0,0,85.0,85.0,85.0,0,0.0,1.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
ICMPv6 ::201:1:1:1 0 ::205:5:5:5 0 155 3,ICMPv6,::201:1:1:1,0,::205:5:5:5,0,2020-04-27 02:25:29.771752,2020-04-27 02:25:29.771752,1587968729771752.0,0.0,"{'00:01:00:01:00:01:00:01', '00:05:00:05:00:05:00:05'}",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0,43.0,43.0,43.0,0,0,0,0,0,0,43.0,43.0,43.0,0,1.0,0.0,0,0.0,0.0,43.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
ICMPv6 fe80::201:1:1:1 0 ff02::1a 0 155 1,ICMPv6,fe80::201:1:1:1,0,ff02::1a,0,2020-04-27 02:25:30.255000,2020-04-27 02:25:30.255000,1587968730255000.0,0.0,"{'0x0000ffff', '00:01:00:01:00:01:00:01'}",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.0,97.0,97.0,97.0,0,0,0,0,0,0,97.0,97.0,97.0,0,1.0,0.0,0,0.0,0.0,97.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
ICMPv6 fe80::201:1:1:1 0 fe80::20d:d:d:d 0 155 1,ICMPv6,fe80::201:1:1:1,0,fe80::20d:d:d:d,0,2020-04-27 02:25:31.010000,2020-04-27 02:25:31.010000,1587968731010000.0,0.0,"{'00:01:00:01:00:01:00:01', '00:0d:00:0d:00:0d:00:0d'}",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.0,102.0,102.0,102.0,0,102.0,102.0,102.0,0,0.0,1.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
